OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,RMS,DATA_SOURCE
STARLINK-1008,2019-074B,2025-10-07T17:14:42.000029,15.06406394,0.0001289,53.0514,153.3339,87.3014,324.6843,0,C,44714,280,1,-0.0010873,-0.00016224,0,0.25,SpaceX-E
STARLINK-1010,2019-074D,2025-10-07T18:02:42.000000,15.8491158,0.0004156,53.0465,93.124,103.7097,233.8327,0,C,44716,280,1,0.00097092,0.0023508,0,0.275,SpaceX-E
STARLINK-1011,2019-074E,2025-10-07T17:26:42.000000,15.74569503,0.0006178,53.0481,148.3189,126.5609,339.4443,0,C,44717,280,1,0.0012582,0.0018951,0,0.274,SpaceX-E
STARLINK-1012,2019-074F,2025-10-07T17:23:42.000029,15.06431669,0.0001615,53.052,153.3072,89.6469,116.2313,0,C,44718,280,1,-0.0024312,-0.00036283,0,0.307,SpaceX-E
STARLINK-1017,2019-074L,2025-10-07T17:39:42.000019,15.12641316,0.0005019,53.0505,151.0714,98.5326,38.4947,0,C,44723,280,1,0.0025357,0.00044995,0,0.254,SpaceX-E
STARLINK-1019,2019-074M,2025-10-07T17:24:41.999990,15.06418038,0.0001736,53.0528,153.3052,81.4561,148.1704,0,C,44724,280,1,-0.00087414,-0.00013049,0,0.26,SpaceX-E
STARLINK-1020,2019-074N,2025-10-07T17:25:42.000038,15.06446037,0.0001369,53.0527,173.3012,95.8255,107.5293,0,C,44725,280,1,-0.0032304,-0.00048213,0,0.467,SpaceX-E
STARLINK-1021,2019-074P,2025-10-07T17:11:41.999971,16.16018792,0.0008227,53.0345,84.1225,312.3103,130.2979,0,C,44726,280,1,0.0011291,0.019265,0,0.486,SpaceX-E
STARLINK-1029,2019-074X,2025-10-07T17:20:41.999971,16.03607216,0.0004149,53.0516,8.9768,8.4665,217.6279,0,C,44734,280,1,0.0010261,0.0069835,0,0.289,SpaceX-E
STARLINK-1031,2019-074Z,2025-10-07T17:56:41.999971,15.41583562,0.0009544,53.0509,148.9307,105.1416,24.9725,0,C,44736,280,1,0.0022784,0.00097946,0,0.261,SpaceX-E
STARLINK-1036,2019-074AE,2025-10-07T17:22:41.999981,15.06457272,0.000156,53.0528,173.311,88.6919,303.3983,0,C,44741,280,1,-0.0038256,-0.000571,0,0.476,SpaceX-E
STARLINK-1039,2019-074AH,2025-10-07T18:05:41.999971,15.11006025,0.0006931,53.0509,192.0431,71.7076,15.5222,0,C,44744,280,1,0.001271,0.00021543,0,0.249,SpaceX-E
STARLINK-1042,2019-074AL,2025-10-07T17:44:42.000000,15.41842666,0.0003349,53.0453,104.186,74.239,244.2983,0,C,44747,280,1,0.0005265,0.00022739,0,0.252,SpaceX-E
STARLINK-1043,2019-074AM,2025-10-07T17:25:42.000038,15.06461099,0.0001351,53.0529,193.301,91.5406,101.8548,0,C,44748,280,1,-0.0040088,-0.00059836,0,0.612,SpaceX-E
STARLINK-1046,2019-074AQ,2025-10-07T17:50:42.000029,15.06456743,0.000152,53.053,193.2228,84.8021,122.7502,0,C,44751,280,1,-0.0035324,-0.0005273,0,0.507,SpaceX-E
STARLINK-1047,2019-074AR,2025-10-07T17:40:41.999981,15.28569793,0.0005439,53.0684,138.3961,102.7835,81.2063,0,C,44752,280,1,0.00024729,6.9848e-05,0,0.254,SpaceX-E
STARLINK-1048,2019-074AS,2025-10-07T17:46:42.000010,15.06474058,0.0001368,53.0524,153.2343,84.8056,327.8116,0,C,44753,280,1,-0.0052752,-0.00078726,0,0.518,SpaceX-E
STARLINK-1053,2019-074AX,2025-10-07T17:53:42.000000,15.57349903,0.0001687,53.0402,120.4137,136.7745,168.5538,0,C,44758,280,1,0.0007493,0.00056035,0,0.259,SpaceX-E
STARLINK-1054,2019-074AY,2025-10-07T17:37:42.000010,15.74363047,0.0007903,53.0404,148.4769,98.3128,312.6505,0,C,44759,280,1,0.001843,0.0027638,0,0.284,SpaceX-E
STARLINK-1056,2019-074BA,2025-10-07T16:54:42.000019,15.86583961,0.0006193,53.0388,136.5887,109.1982,6.0418,0,C,44761,280,1,0.0010961,0.0028889,0,0.291,SpaceX-E
STARLINK-1060,2019-074BE,2025-10-07T17:48:42.000019,15.53313511,0.0001007,53.0539,166.7261,97.2806,317.3226,0,C,44765,280,1,0.0083046,0.0054471,0,0.325,SpaceX-E
STARLINK-1063,2019-074BH,2025-10-07T17:30:42.000019,15.06453322,0.000149,53.0537,193.2849,88.6959,103.483,0,C,44768,280,1,-0.0030412,-0.00045401,0,0.482,SpaceX-E
STARLINK-1067,2019-074BL,2025-10-07T17:47:41.999971,15.06430614,0.0001354,53.0531,193.233,90.0056,226.312,0,C,44771,280,1,-0.0028092,-0.00041916,0,0.492,SpaceX-E
STARLINK-1068,2019-074BM,2025-10-07T17:39:42.000019,15.06456449,0.0001455,53.0529,173.2576,84.2172,251.9285,0,C,44772,280,1,-0.0030925,-0.00046171,0,0.378,SpaceX-E
STARLINK-1112,2020-001M,2025-10-07T18:04:42.000010,15.49043997,7.12e-05,53.0509,278.6809,72.5278,207.2035,0,C,44925,280,1,0.0028288,0.0015707,0,0.283,SpaceX-E
STARLINK-1114,2020-001P,2025-10-07T17:25:42.000038,15.06422614,0.0001596,53.0539,313.3028,82.3848,351.0069,0,C,44927,280,1,0.00015798,2.3596e-05,0,0.415,SpaceX-E
STARLINK-1123,2020-001S,2025-10-07T17:33:41.999990,15.06419541,0.0001364,53.0538,313.2765,89.6651,293.8745,0,C,44930,280,1,0.00036225,5.4104e-05,0,0.348,SpaceX-E
STARLINK-1144,2020-001V,2025-10-07T17:25:42.000038,15.54190684,0.0013089,53.0455,256.7152,7.4612,54.4156,0,C,44933,280,1,0.00075633,0.00050504,0,0.283,SpaceX-E
STARLINK-1091,2020-001AC,2025-10-07T17:46:42.000010,15.84645875,0.0003035,53.0385,238.8806,76.0953,139.9139,0,C,44940,280,1,0.0013818,0.0033172,0,0.288,SpaceX-E
STARLINK-1094,2020-001AD,2025-10-07T17:11:41.999971,15.06398179,0.0001243,53.0536,293.344,83.9207,146.7586,0,C,44941,280,1,6.7817e-05,1.0122e-05,0,0.307,SpaceX-E
STARLINK-1096,2020-001AE,2025-10-07T17:37:42.000010,15.80850401,0.0003215,52.9907,65.683,305.9461,18.1973,0,C,44942,280,1,0.00094493,0.0018843,0,0.27,SpaceX-E
STARLINK-1122,2020-001AM,2025-10-07T17:39:42.000019,15.06407083,0.0001588,53.0527,293.2527,88.7419,127.4504,0,C,44949,280,1,-8.6327e-05,-1.2887e-05,0,0.348,SpaceX-E
