Idea,Description,Impact,Feasibility
運動強度や景観によるサイクLingルート設定,"坂道の勾配、緑の多さ、水辺からの距離などを考慮し、ユーザーに最適なサイクリングルートを提案する",3,4
スターリンクトレイン・ISSの鑑賞場所設定,"人工衛星の軌道情報と、地上の標高・天気・夜間光データを組み合わせ、最も観測に適した場所と時間を ??する",4,3
家庭菜園支援,"日射量や地表面温度（LST）、地域の気候データから、特定の野菜を育てるのに最適な時期や場所をアドバイスする",2,4
道路陥没事前検知,"SAR衛星のデータを時系列で解析し、地表面の微小な変動を捉えて道路の陥没リスクがある場所を特定する（技術的難易度が非常に高い）",-2,-5
森林の樹種判定,"高解像度の光学衛星画像を使い、機械学習モデルで森林を構成する木々の種類を特定する（高解像度データの入手が課題）",1,-2
治安予測,"過去の犯罪発生データと、気温や夜間光、人口構成などのデータを組み合わせ、特定のエリアの犯罪リスクを予測する（データの相関関係の証明が難しい）",-1,-3
博物館・科学館の推薦システム,"衛星データを活用する必然性が低く、テーマとの関連付けが難しい",-3,1
救急車が到着時間が短い行動範囲推薦システム,"道路網データや施設情報が主となり、衛星データが活きる場面が限定的",-4,-1
最適な勉強場所検索,"衛星データ（夜間光など）も使えるが、主となるのは地上の混雑度データなどであり、テーマとしての新規性が低い",-1,2
快適な学習時間帯の提案,"気温や湿度などの地上データが主となり、衛星データを活用するメリットを出しにくい",-2,3
自然環境と勉強の集中力の関係,"植生指数と集中力の相関をまず分析する必要があり、アプリ開発以前の研究フェーズが長い",0,-1
衛星データによる地理・環境系の学習教材,"共通テストで頻出のテーマ（都市のヒートアイランド、植生の変化など）を、実際の衛星データを使ってインタラクティブに学べる教材",4,5
衛星データによる自由研究サポート教材,"「近所の公園の緑は増えている？」といった身近な疑問を、衛星データを使って調べる方法をガイドする自由研究テーマを提供",5,5
散歩や運動のタイミング推薦システム,"大気汚染状況（AOD）、花粉飛散リスク（植生分布から推定）、天気予報を統合し、快適に屋外活動できる時間帯を ??する",2,5
癒し画像お届け,"世界中の美しい海岸線やサンゴ礁、幾何学的な農地など、アート性の高い衛星画像をランダムで表示する",0,5
受験やイベントのための前乗り推薦システム,"衛星データの活用シーンが限定的で、テーマとの関連付けが難しい",-3,0
管楽器練習場所推薦システム,"衛星データ（土地被覆）で公園などを探せるが、主となるのは地上の騒音規制や施設情報",1,2
医学部×衛星データ,"感染症の拡大予測などテーマは面白いが、扱うデータが専門的すぎて個人開発の範疇を超える",-2,-4
